"Sample","Subset","Spots_In_Subset","Pct_Spots_In_Subset","MT_Min","MT_Median","MT_Max","X_Variable","Y_Variable","X_Column","Y_Column","N","Pearson_r","Pearson_p","Pearson_log10_p","Pearson_CI_low","Pearson_CI_high","Spearman_rho","Spearman_p","Spearman_log10_p","Spearman_CI_low","Spearman_CI_high"
"sample1","percent_mt_Q2",2927,25,3.002,3.182,3.374,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",2927,0.0805620074141861,1.27835022167972e-05,-4.89335014891143,0.0444617020784894,0.116452189228991,0.114139382688604,5.91232423736664e-10,-9.22824175684633,0.0771677484942488,0.150797544041748
"sample1","percent_mt_Q2",2927,25,3.002,3.182,3.374,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",2927,-0.0240649875782066,0.193056427273609,-0.714315735179549,-0.0602425422508782,0.0121757068563878,-0.0269110314838304,0.145509931912257,-0.837107362502968,-0.0641468113914708,0.0103995770477053
"sample1","percent_mt_Q2",2927,25,3.002,3.182,3.374,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",2927,-0.050605710994354,0.00617308641769706,-2.20949764325543,-0.0866768721023354,-0.0144020376711809,-0.0477979641203433,0.00970047237116053,-2.01320711695091,-0.0849466846219185,-0.010516544192987
"sample1","percent_mt_Q2",2927,25,3.002,3.182,3.374,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",2927,-0.0493049978101885,0.00763110243848163,-2.1174127165191,-0.0853825556291764,-0.0130983169242418,-0.0500312771555727,0.00678289959586728,-2.16858461154821,-0.0871687745383848,-0.0127549104708858
"sample1","percent_mt_Q2",2927,25,3.002,3.182,3.374,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",2927,-0.00677939244252115,0.71389906914916,-0.1463631843163,-0.0429989098628379,0.0294579216741843,-0.00313070173133918,0.865557114477245,-0.0627042695749391,-0.0404261505203865,0.0341734584796782
"sample1","percent_mt_Q3",2927,25,3.374,3.605,3.91,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",2927,0.00745368480399812,0.686881437922674,-0.16311821970841,-0.0287841670140551,0.0436719700170663,0.028341989624372,0.12527477529908,-0.902136367563393,-0.00896766021773867,0.0655728381572444
"sample1","percent_mt_Q3",2927,25,3.374,3.605,3.91,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",2927,-0.0329105496571744,0.0750366583199405,-1.12472651505443,-0.0690582866076949,0.00332349183751738,-0.0342685614579675,0.0637760995139381,-1.19534204532155,-0.0714773670137803,0.00303548815456892
"sample1","percent_mt_Q3",2927,25,3.374,3.605,3.91,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",2927,-0.0998083686764242,6.26678165043981e-08,-7.20295543688789,-0.135548295943483,-0.0638090275478934,-0.0995533686615985,6.77178684197477e-08,-7.16929672079514,-0.136347232220958,-0.0624852290764253
"sample1","percent_mt_Q3",2927,25,3.374,3.605,3.91,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",2927,-0.0599256600973514,0.00118023665596682,-2.92803090110449,-0.0959474262712179,-0.0237471390580702,-0.0600403215399969,0.00115473489979526,-2.93751770821412,-0.0971229828245224,-0.0227911931588504
"sample1","percent_mt_Q3",2927,25,3.374,3.605,3.91,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",2927,0.0373511587282286,0.0433206533622032,-1.36330500196685,0.00112259914595594,0.0734817992778385,0.0385867792329496,0.0368431230611698,-1.43364356330838,0.00128846412958446,0.0757778822078355
"sample1","percent_mt_Q4",2927,25,3.91,4.487,33.591,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",2927,0.00652995539207998,0.723987297766431,-0.140269053358571,-0.0297071514727199,0.0427499203050242,0.000861382191253785,0.962846065986271,-0.0164431397046016,-0.0364399581950314,0.0381603256926629
"sample1","percent_mt_Q4",2927,25,3.91,4.487,33.591,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",2927,-0.42838877613664,5.74235830557003e-131,-130.240909712349,-0.457517920936161,-0.398341175157894,-0.237608103227568,7.57014564922936e-39,-38.1208957646151,-0.272493213810342,-0.202099102124764
"sample1","percent_mt_Q4",2927,25,3.91,4.487,33.591,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",2927,-0.0870838835612888,2.37771937647489e-06,-5.62383940305628,-0.12292612348632,-0.0510147592581779,-0.0946125767438733,2.92795250235408e-07,-6.53343597274098,-0.131448854751926,-0.0575153826956455
"sample1","percent_mt_Q4",2927,25,3.91,4.487,33.591,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",2927,-0.0605497777512394,0.00104746547623923,-2.97986028218113,-0.0965680129825725,-0.0243731670103226,-0.167319482925991,8.03409921798059e-20,-19.0950628092044,-0.203350532664382,-0.130835865882719
"sample1","percent_mt_Q4",2927,25,3.91,4.487,33.591,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",2927,0.0654827849425517,0.000392575052342818,-3.40607730273425,0.0293222717389461,0.10147212647916,0.140687515274989,2.06928709353813e-14,-13.6841792510019,0.103932750279962,0.177058540388293
