"gene_id","gene_name","samples_detected","total_counts","is_deprecated_probe","is_universe"
"ENSG00000254130","LINC01947",0,0,FALSE,FALSE
"ENSG00000253713","AC091819.2",0,0,FALSE,FALSE
"ENSG00000253469","AC091819.1",0,0,FALSE,FALSE
"ENSG00000145934","TENM2",22,314868,FALSE,TRUE
"ENSG00000254365","AC091820.2",0,0,FALSE,FALSE
"ENSG00000254297","AC091820.1",0,0,FALSE,FALSE
"ENSG00000253527","AC008601.1",0,0,FALSE,FALSE
"ENSG00000254187","AC008708.2",0,0,FALSE,FALSE
"ENSG00000253357","AC008708.1",0,0,FALSE,FALSE
"ENSG00000253660","AC008464.1",0,0,FALSE,FALSE
"ENSG00000253947","AC008705.2",0,0,FALSE,FALSE
"ENSG00000253925","AC011369.1",0,0,FALSE,FALSE
"ENSG00000253978","AC026689.1",0,0,FALSE,FALSE
"ENSG00000113645","WWC1",22,114117,FALSE,TRUE
"ENSG00000113643","RARS",22,365455,FALSE,TRUE
"ENSG00000188573","FBLL1",22,46618,FALSE,TRUE
"ENSG00000120137","PANK3",22,161986,FALSE,TRUE
"ENSG00000254192","AC011365.2",0,0,FALSE,FALSE
"ENSG00000184347","SLIT3",22,306473,FALSE,TRUE
"ENSG00000254042","AC011365.1",0,0,FALSE,FALSE
"ENSG00000248965","AC011389.2",0,0,FALSE,FALSE
"ENSG00000248222","AC011389.1",0,0,FALSE,FALSE
"ENSG00000040275","SPDL1",22,9146,FALSE,TRUE
"ENSG00000134516","DOCK2",22,147218,FALSE,TRUE
"ENSG00000253269","AC008680.1",0,0,FALSE,FALSE
"ENSG00000204767","INSYN2B",22,6716,FALSE,TRUE
"ENSG00000168269","FOXI1",22,5442,FALSE,TRUE
"ENSG00000249601","LINC01187",0,0,FALSE,FALSE
"ENSG00000234511","C5orf58",22,6313,FALSE,TRUE
"ENSG00000043462","LCP2",22,223592,FALSE,TRUE
"ENSG00000235172","LINC01366",0,0,FALSE,FALSE
"ENSG00000250274","AC034199.1",0,0,FALSE,FALSE
"ENSG00000182132","KCNIP1",22,24930,FALSE,TRUE
"ENSG00000145936","KCNMB1",22,50269,FALSE,TRUE
"ENSG00000253647","AC027306.1",0,0,FALSE,FALSE
"ENSG00000253858","AC008619.1",0,0,FALSE,FALSE
"ENSG00000253591","AC027312.1",0,0,FALSE,FALSE
"ENSG00000253348","AC008514.1",0,0,FALSE,FALSE
"ENSG00000094755","GABRP",22,5316,FALSE,TRUE
"ENSG00000204764","RANBP17",22,34165,FALSE,TRUE
"ENSG00000275038","AC091980.2",0,0,FALSE,FALSE
"ENSG00000164438","TLX3",22,6635,FALSE,TRUE
"ENSG00000181163","NPM1",0,0,FALSE,FALSE
"ENSG00000156427","FGF18",22,35352,FALSE,TRUE
"ENSG00000285914","AC022440.1",0,0,FALSE,FALSE
"ENSG00000253110","AC011410.1",0,0,FALSE,FALSE
"ENSG00000185662","SMIM23",22,3943,FALSE,TRUE
"ENSG00000072803","FBXW11",22,193303,FALSE,TRUE
"ENSG00000072786","STK10",22,111392,FALSE,TRUE
"ENSG00000214360","EFCAB9",22,4281,FALSE,TRUE
"ENSG00000168246","UBTD2",22,131542,FALSE,TRUE
"ENSG00000174705","SH3PXD2B",22,112737,FALSE,TRUE
"ENSG00000287814","AC011407.1",0,0,FALSE,FALSE
"ENSG00000254299","LINC01944",0,0,FALSE,FALSE
"ENSG00000214357","NEURL1B",22,49562,FALSE,TRUE
"ENSG00000253445","AC027309.1",0,0,FALSE,FALSE
"ENSG00000253295","AC022217.2",0,0,FALSE,FALSE
"ENSG00000253736","AC022217.3",0,0,FALSE,FALSE
"ENSG00000120129","DUSP1",22,6268984,FALSE,TRUE
"ENSG00000253628","AC110011.1",0,0,FALSE,FALSE
"ENSG00000113719","ERGIC1",22,356185,FALSE,TRUE
"ENSG00000204758","AC008429.1",0,0,FALSE,FALSE
"ENSG00000254295","AC008429.3",0,0,FALSE,FALSE
"ENSG00000037241","RPL26L1",0,0,FALSE,FALSE
"ENSG00000113732","ATP6V0E1",22,713275,FALSE,TRUE
"ENSG00000164463","CREBRF",22,399117,FALSE,TRUE
"ENSG00000253172","AC008378.1",0,0,FALSE,FALSE
"ENSG00000113734","BNIP1",22,66217,FALSE,TRUE
"ENSG00000183072","NKX2-5",22,7578,FALSE,TRUE
"ENSG00000113739","STC2",22,80842,FALSE,TRUE
"ENSG00000253968","AC016573.1",0,0,FALSE,FALSE
"ENSG00000253141","AC008632.1",0,0,FALSE,FALSE
"ENSG00000253768","AC008663.1",0,0,FALSE,FALSE
"ENSG00000254164","AC008663.3",0,0,FALSE,FALSE
"ENSG00000253955","AC008663.2",0,0,FALSE,FALSE
"ENSG00000145919","BOD1",22,125983,FALSE,TRUE
"ENSG00000253959","LINC01863",0,0,FALSE,FALSE
"ENSG00000253428","LINC01942",0,0,FALSE,FALSE
